name,category,ticket_class,iso_code,members
Gene shinozaki,Solo,GBB15 top4,840,
Efaybee,Solo,GBB15 top4,250,
Babeli,Solo,GBB15 top4,276,
Jayton,Solo,GBB15 top4,643,
Pash,Solo,Wildcard 1,643,
Bloomer,Solo,Wildcard 2,840,
Beat Rhino,Solo,Wildcard 3,840,
Cosmin,Solo,Wildcard 4,642,
Bataco,Solo,Wildcard 5,392,
FunkAzteK,Solo,Swiss_wildcard 1,756,
Arthur Henry,Solo,Swiss_wildcard 2,756,
Zhang Ze,Solo,China Beatbox Championship 2015,156,
NaPoM,Solo,invited,840,
Kaila Mullady,Solo,invited,840,
Kenny Urban,Solo,invited,840,
K-pom,Tag Team,invited,840,"Kenny Urban, NaPoM"
Fabulous Wadness,Tag Team,invited,250,"Wawad, Beatness"
Mad Twinz,Tag Team,invited,643,"Pash, Jayton"
Shadow Sumo,Tag Team,invited,250,"K.I.M., BigBen"
Shadow Sumo,Tag Team,invited,56,"K.I.M., BigBen"
Power Couple,Tag Team,invited,840,"Kaila Mullady, Mark Martin"
Costik Storm,Tag Team,invited,250,"Efabee, Alexinho"
Polyrhythm,Tag Team,invited,528,"B-Art, Timmeh"
Alem & Skiller,Tag Team,invited,250,"Alem, Skiller"
Alem & Skiller,Tag Team,invited,100,"Alem, Skiller"
Spider Horse,Tag Team,invited,840,"Gene Shinozaki, Chris Celiz"
Wawad,Loopstation,GBB15 top4,250,
MB14,Loopstation,GBB15 top4,250,
Ibarra,Loopstation,Wildcard 1,528,
Gon,Loopstation,Wildcard 1,440,
Arthur Henry,Loopstation,Swiss_wildcard 1,756,
Oxbox,Loopstation,invited,826,
Tioneb,Loopstation,invited,250,
Thorsen,Loopstation,invited,208,
