name,category,ticket_class,iso_code,members
Alexinho,Solo,GBB14 top4,250
K.I.M.,Solo,GBB14 top4,250
Pash,Solo,Wildcard 1,643
Gene shinozaki,Solo,Wildcard 2,840
Timmeh,Solo,Wildcard 3,528
Kenny Urban,Solo,Wildcard 4,840
B-Art,Solo,Wildcard 5,528
Babeli,Solo,Wildcard 6,276
Efaybee,Solo,Wildcard 7,250
Slykku,Solo,Public vote 2,380
Jayton,Solo,Public vote 3,643
FunkAzteK,Solo,Swiss_wildcard 1,756
Denis the Menace,Solo,Swiss_wildcard 2,756
MB14,Loopstation,Wildcard 1,250
Ibarra,Loopstation,invited,528
Penkyx,Loopstation,invited,56
RamZ,Loopstation,invited,826
Wawad,Loopstation,invited,250
Sung Lee,Loopstation,invited,840
Mando,Loopstation,invited,276
Keumart,Loopstation,invited,756
