name,category,ticket_class,iso_code,members
Jerry,Solo,invited,840,
Zion,Solo,invited,250,
xFlawz,Solo,invited,826,
Omen,Solo,invited,410,
Bozz,Solo,invited,208,
Klown,Solo,invited,528,
Sin,Solo,invited,376,
BizKit,Solo,invited,840,
ADN54,Solo,invited,152,
Gale,Solo,invited,36,
Inferno,Solo,invited,152,
Stalkrixx,Solo,invited,620,
ZaG1R,Solo,invited,643,
B-TER,Solo,invited,764,
Nandob,Solo,invited,76,
Jewow,Solo,invited,620,
Shay,Solo,invited,804,
Turtle,Solo,invited,840,
Match,Solo,invited,840,
Water,Solo,invited,840,
Fresh'Mic,Solo,invited,620,
DeepFreeze,Solo,invited,504,
Benja,Solo,invited,528,
Milky,Solo,invited,826,
Tarik,Solo,invited,36,
Rawclaw,Solo,invited,208,
Shah,Solo,invited,860,
Cali,Solo,invited,608,
STeaMie,Solo,invited,516,
Double-M,Solo,invited,504,
Frosty,Solo,invited,826,
Osy,Solo,invited,250,
Epos,Solo,invited,826,
Villain,Solo,invited,840,
PeaceRex,Solo,invited,356,
Cold,Solo,invited,840,
S,Solo,invited,208,
JWat,Solo,invited,840,
Blackened,Solo,invited,152,
Max,Solo,invited,376,
Brains,Solo,invited,620,
DM'N'BASS,Solo,invited,250,
Ex-BiTT,Solo,invited,152,
MonT,Solo,invited,376,
Mr. Ben,Solo,invited,300,
S-Dope,Solo,invited,300,
Beatdown,Solo,invited,620,
H1ppy,Solo,invited,376,
TMY,Solo,invited,826,
Inertia,Solo,invited,840,
Azel,Solo,invited,380,
Mike,Solo,invited,484,
Xiphire,Solo,invited,152,
DeMellow,Solo,invited,376,
DimSub,Solo,invited,376,
Knowtrap,Solo,invited,620,
VampQ,Solo,invited,300,
Rex,Solo,invited,36,
Jack,Solo,invited,410,
SYNOPSYS,Solo,invited,250,
Solé,Solo,invited,208,
Y2K,Solo,invited,36,
ZiadSwidan,Solo,invited,818,
Scream,Solo,invited,643,
Indicator,Solo,invited,528,
Minko,Solo,invited,504,
Waali,Solo,invited,152,
Vocodah,Solo,invited,840,
Piratheeban,Solo,invited,702,
Mr. Androide,Solo,invited,152,
H-has,Solo,invited,410,
Mighty,Solo,invited,410,
Cloud,Solo,invited,410,
Pacmax,Solo,invited,250,
Pingpong Po,Solo,invited,840,
Zer0,Solo,invited,31,
AnTILT,Solo,invited,586,
Hiss,Solo,invited,410,
Remix,Solo,invited,710,
Napom,Solo,invited,840,
Balistix,Solo,invited,840,
River',Solo,invited,250,
Dudz,Solo,invited,76,
BreZ,Loopstation,invited,250,
Frosty,Loopstation,invited,826,
Kristóf,Loopstation,invited,348,
RUSY,Loopstation,invited,392,
BizKit,Loopstation,invited,840,
FriiDon,Loopstation,invited,276,
Gregrox,Loopstation,invited,276,
DgyMie,Loopstation,invited,250,
Garmon,Loopstation,invited,643,
Dj-low,Loopstation,invited,826,
SungBeats,Loopstation,invited,840,
Voxel,Loopstation,invited,528,
KBA,Loopstation,invited,208,
Hoguma,Loopstation,invited,392,
