name,category,ticket_class,iso_code,members
Dharni,Solo,GBB13 1st,702
Alexinho,Solo,Wildcard 1,250
Markooz,Solo,Wildcard 2,724
Wawad,Solo,Wildcard 3,250
B-Art,Solo,Wildcard 4,528
K.I.M.,Solo,Wildcard 5,250
Sid FX,Solo,Wildcard 6,826
HeartGrey,Solo,Wildcard 7,344
Two.H,Solo,Wildcard 8,410
Jimix,Solo,Public vote 1,158
Funkaztek,Solo,Swiss representative,756
Gasu,Loopstation,Wildcard 1,724
Faya Braz,Loopstation,invited,250
Keumart,Loopstation,invited,756
Camero,Loopstation,invited,756
Hobbit,Loopstation,invited,826
Degree,Loopstation,invited,276
Penkyx,Loopstation,invited,56
Grison,Loopstation,invited,724
