name,category,ticket_class,iso_code,members
TOMAZACRE,Solo,GBB 2019 Vice Champion,152,
B-ART,Solo,GBB 2019 3rd place,528,
ZEKKA,Solo,GBB 2019 7 to Smoke Champion,724,
TRUNG BAO,Solo,Wildcard 1 (2020),704,
[cancelled] WAWAD,Solo,Wildcard 2 (2020),250,
COLAPS,Solo,Wildcard 3 (2020),250,
VOCODAH,Solo,Wildcard 4 (2020),840,
MR. ANDROIDE,Solo,Wildcard 5 (2020),152,
[cancelled] MB14,Solo,Wildcard 6 (2020),250,
HELIUM,Solo,Wildcard 7 (2020),643,
ELISII,Solo,Wildcard 8 (2020),124,
TWO.H,Solo,Wildcard 9 (2020),410,
NAPOM,Solo,Wildcard 10 (2020),840,
D-KOY,Solo,Wildcard 11 (2020),840,
KOHEY,Solo,Wildcard 12 (2020),392,
KING INERTIA,Solo,Great North Battle 2019 Champion,840,
HISS,Solo,Asia Beatbox Championship 2019 Champion,410,
ZER0,Solo,GBB Online 2020 Champion,31,
RIVER',Solo,Wildcard 1 (2021),250,
ALEXINHO,Solo,Wildcard 2 (2021),250,
GENE SHINOZAKI,Solo,Wildcard 3 (2021),840,
STITCH,Solo,Wildcard 4 (2021),458,
MAX,Solo,Wildcard 5 (2021),376,
[cancelled] SHOW-GO,Solo,Wildcard 6 (2021),392,
ALEM,Solo,Wildcard 7 (2021),250,
IMPROVER,Solo,Wildcard 8 (2021),643,
FOOTBOXG,Solo,Wildcard 9 (2021),56,
DEN,Solo,Wildcard 10 (2021),124,
HEARTZEL,Solo,Wildcard 11 (2021),458,
MIDDLE SCHOOL,Tag Team,GBB 2019 Vice Champions,56,"FOOTBOXG, SUPERNOVA"
[cancelled] WOLFGANG,Tag Team,Wildcard 1 (2020),250,"SARO, MB14"
SHADOW SUMO,Tag Team,Wildcard 2 (2020),56,"BIGBEN, K.I.M."
SHADOW SUMO,Tag Team,Wildcard 2 (2020),250,"BIGBEN, K.I.M."
ZEN'HIT,Tag Team,Wildcard 3 (2020),250,"AKINDÉ, Kenôzen"
[cancelled] Rhythmination,Tag Team,Wildcard 4 (2020),392,"Yuto, Riki"
[cancelled] ABDUCTED,Tag Team,Wildcard 5 (2020),152,"MR. ANDROIDE, TOMAZACRE"
[cancelled] A-CLOUD,Tag Team,Wildcard 6 (2020),826,"A-Kam, Graycloud"
ROGUE WAVE,Tag Team,Wildcard 7 (2020),250,"RIVER', COLAPS"
[cancelled] Lightship,Tag Team,Wildcard 8 (2020),840,"Kaila Mullady, Mark Martin"
ROFU,Tag Team,Wildcard 9 (2020),392,"FUGA, HIRO"
HUSKEY,Tag Team,Wildcard 1 (2021),392,"RUSY, KOHEY"
JACKPOT,Tag Team,Wildcard 2 (2021),410,"WING, HELLCAT"
ONII-CHAN,Tag Team,Wildcard 3 (2021),276,"CHEZAME, SXIN"
WILDCARD GUYS,Tag Team,Wildcard 4 (2021),392,"SO-SO, KAJI"
DREAMERZ,Tag Team,Wildcard 5 (2021),840,"PONO, BIZKIT"
BLUE MOUNTAIN BEATBOX,Tag Team,Wildcard 6 (2021),124,"JORDOX, SCRIBBLY DOODLE"
RYTHMIND,Loopstation,GBB 2019 Champion,250,
[cancelled] NME,Loopstation,GBB 2019 Vice Champion,380,
ROBIN,Loopstation,Wildcard 1 (2020),250,
BREZ,Loopstation,Wildcard 2 (2020),250,
SXIN,Loopstation,Wildcard 3 (2020),276,
DGYMIE,Loopstation,Wildcard 4 (2020),250,
SO-SO,Loopstation,Wildcard 5 (2020),392,
BALANCE,Loopstation,Wildcard 6 (2020),826,
SLIZZER,Loopstation,Wildcard 7 (2020),442,
GASPER GROM,Loopstation,Wildcard 8 (2020),705,
SUNGBEATS,Loopstation,Wildcard 9 (2020),840,
CHRIS THEODIAN,Loopstation,Wildcard 10 (2020),250,
FROSTY,Loopstation,GBB Online 2020 Champion,826,
DICE,Loopstation,Wildcard 1 (2021),410,
[cancelled] ZHANG ZE,Loopstation,Wildcard 2 (2021),156,
M-AGE,Loopstation,Wildcard 3 (2021),203,
MATEJ,Loopstation,Wildcard 4 (2021),40,
BIZKIT,Loopstation,Wildcard 5 (2021),840,
KBA,Loopstation,Wildcard 6 (2021),208,
BERY,Tag Team Loopstation,Wildcard 1 (2020),250,"BEATNESS, RYTHMIND"
SORRY,Tag Team Loopstation,Wildcard 2 (2020),392,"SO-SO, RUSY"
[cancelled] FREEDOM OF SIN,Tag Team Loopstation,Wildcard 3 (2020),276,"FriiDon, SXIN"
SCAM TALK,Tag Team Loopstation,Wildcard 4 (2020),250,"BREZ, CHRIS THEODIAN"
S.Q.U.I.D,Crew,Wildcard 1 (2020),250,"EFAYBEE, ORFEY, ROBIN, CHRIS THEODIAN, BREZ"
M.O.M,Crew,Wildcard 2 (2020),40,"GEO POPOFF, EON, SLIZZER"
THE RAZZZONES,Crew,Wildcard 3 (2020),276,"CHLOROPHIL, RAPHA, OFF THE BOX, KAYS"
SARUKANI,Crew,Wildcard 1 (2021),392,"SO-SO, RUSY, KOHEY, KAJI"
