name,category,ticket_class,iso_code,members
Jerry,Solo,invited,840,
Zion,Solo,invited,250,
xFlawz,Solo,invited,840,
Omen,Solo,invited,410,
Bozz,Solo,invited,840,
Klown,Solo,invited,840,
Sin,Solo,invited,840,
BizKit,Solo,invited,840,
ADN54,Solo,invited,840,
Gale,Solo,invited,36,
Inferno,Solo,invited,152,
Stalkrixx,Solo,invited,608,
ZaG1R,Solo,invited,504,
B-TER,Solo,invited,840,
Nandob,Solo,invited,76,
Jewow,Solo,invited,620,
Shay,Solo,invited,376,
Turtle,Solo,invited,840,
Match,Solo,invited,250,
Water,Solo,invited,840,
Fresh'Mic,Solo,invited,620,
DeepFreeze,Solo,invited,840,
Benja,Solo,invited,376,
Milky,Solo,invited,840,
Tarik,Solo,invited,504,
Rawclaw,Solo,invited,840,
Shah,Solo,invited,356,
Cali,Solo,invited,608,
STeaMie,Solo,invited,608,
Double-M,Solo,invited,504,
Frosty,Solo,invited,840,
Osy,Solo,invited,376,
Epos,Solo,invited,620,
Villain,Solo,invited,840,
PeaceRex,Solo,invited,356,
Cold,Solo,invited,840,
Wat,Solo,invited,840,
Blackened,Solo,invited,840,
Max,Solo,invited,376,
Brains,Solo,invited,840,
DM'N'BASS,Solo,invited,410,
Ex-BiTT,Solo,invited,840,
MonT,Solo,invited,840,
Mr. Ben,Solo,invited,250,
S-Dope,Solo,invited,840,
Beatdown,Solo,invited,840,
H1ppy,Solo,invited,840,
TMY,Solo,invited,840,
Inertia,Solo,invited,840,
Azel,Solo,invited,250,
Mike,Solo,invited,484,
Xiphire,Solo,invited,152,
DeMellow,Solo,invited,840,
DimSub,Solo,invited,840,
Knowtrap,Solo,invited,504,
VampQ,Solo,invited,376,
Rex,Solo,invited,840,
Jack,Solo,invited,410,
SYNOPSYS,Solo,invited,376,
Solé,Solo,invited,250,
Y2K,Solo,invited,840,
ZiadSwidan,Solo,invited,376,
Scream,Solo,invited,840,
Indicator,Solo,invited,840,
Minko,Solo,invited,840,
Waali,Solo,invited,504,
BreZ,Loopstation,invited,250,
Frosty,Loopstation,invited,826,
Kristóf,Loopstation,invited,40,
RUSY,Loopstation,invited,392,
BizKit,Loopstation,invited,840,
FriiDon,Loopstation,invited,276,
Gregrox,Loopstation,invited,276,
DgyMie,Loopstation,invited,250,
Garmon,Loopstation,invited,643,
Dj-low,Loopstation,invited,826,
SungBeats,Loopstation,invited,840,
Voxel,Loopstation,invited,528,
KBA,Loopstation,invited,208,
Hoguma,Loopstation,invited,392,
