name,category,ticket_class,iso_code,members
NAPOM,Solo,GBB24 7toSmoke,840,
??? (4/12),Solo,FLORIDA BEATBOX BATTLE 2025,0,
??? (6/1),Solo,GREAT NORTH BATTLE 2025,0,
??? (?/?),Solo,MAESTRO BEATBOX AMERICA 2024,0,
??? (?/?),Solo,MENA REGION QUALIFIER,0,
??? (?/?),Solo,OCEANIA BEATBOX BATTLE,0,
Julard,Solo,GBB24 top3,250,
Osis,Solo,GBB24 top3,372,
Remix,Solo,GBB24 top3,710,
FRESH TONIC,Tag Team,GBB24 top3,250,"BOOKIE BLANCO, PACMAX"
MICO,Tag Team,GBB24 top3,392,"MIZUKI, COLOA"
[cancelled] JAIRO,Tag Team,GBB24 top3,392,"Yamori, John-T"
YASWEDE,Loopstation,GBB24 top3,56,
RAJE,Loopstation,GBB24 top3,356,
[cancelled] MATEJ,Loopstation,GBB24 top3,40,
[cancelled] KBA,Producer,GBB24 1st,208,
Kowler Rangers,Crew,GBB24 1st,250,"Osy, Tunecinoo, Epock, Áelmight"
