name,category,ticket_class,iso_code,members
Hiss,Solo,GBB 2017 Vice Champion,410,
Trung Bao,Solo,GBB 2017 4th place,704,
BATACO,Solo,Asian Beatbox Championship 2017 Winner,392,
Ah Xin,Solo,China Beatbox Championship 2017 Winner,156,
Villain,Solo,Great North Battle 2017 Winner,840
SHOW-GO,Solo,Wildcard 1,392,
Codfish,Solo,Wildcard 2,036,
Bigman,Solo,Wildcard 3,410,
D-low,Solo,Wildcard 4,826,
[cancelled] Two.H,Solo,Wildcard 5,410,
H-Has,Solo,Wildcard 6,410,
Rythmind,Solo,Wildcard 7,250,
Chris Celiz,Solo,Wildcard 8,840,
Helium,Solo,Wildcard 9,643,
Piratheeban,Solo,Wildcard 10,702,
Ish,Solo,Wildcard 11,356,
X-Touch,Tag Team,Wildcard 1,250,"Samy Try, Bronix"
A-Cloud,Tag Team,Wildcard 2,826,"A-Kam, Graycloud"
Adeft,Tag Team,Wildcard 3,528,"B-Art, Voxel"
Spider Horse,Tag Team,Invited,840,"Gene Shinozaki, Chris Celiz"
Kotcha,Tag Team,Invited,826,"D-low, Frosty"
K-PoM,Tag Team,Invited,840,"NaPoM, Kenny Urban"
2REAL,Tag Team,Invited,410,"Hiss, Huckle"
Presidential Host,Tag Team,Invited,124,"Scott Jackson, BBK"
Bery,Tag Team,Invited,250,"Beatness, Rythmind"
Tioneb,Loopstation,GBB 2017 Vice Champion,250,
Jarno Ibarra,Loopstation,GBB 2016 3rd place,528,
Inkie,Loopstation,Wildcard 1,643,
OXBOX,Loopstation,Wildcard 2,826,
Balance,Loopstation,Wildcard 3,826,
Beatness,Loopstation,Wildcard 4,250,
NME,Loopstation,Wildcard 5,380,
Thai Son,Loopstation,Wildcard 6,704,
