name,category,ticket_class,iso_code,members
Codfish,Solo,GBB 2018 Champion,36,
D-low,Solo,GBB 2018 Vice Champion,826,
BATACO,Solo,GBB 2018 4th place,392,
Colaps,Solo,GBB 7 to Smoke 2018 Champion,250,
[cancelled] Wing,Solo,Asia Beatbox Championship 2018 Champion,410,
H-Has,Solo,Wildcard 1,410,
SHOW-GO,Solo,Wildcard 2,392,
Trung Bao,Solo,Wildcard 3,704,
FootboxG,Solo,Wildcard 4,56,
Elisii,Solo,Wildcard 5,124,
Zekka,Solo,Wildcard 6,724,
Cloud,Solo,Wildcard 7,410,
B-Art,Solo,Wildcard 8,528,
MB14,Solo,Wildcard 8,250,
Audical,Solo,Wildcard 10,840,
Tomazacre,Solo,Wildcard 10,152,
River',Solo,Wildcard 12,250,
Kotcha,Tag Team,GBB 2018 Vice Champions,826,"D-low, Frosty"
Uniteam,Tag Team,Wildcard 1,250,"Alem, Alexinho"
[cancelled] WABE,Tag Team,Wildcard 2,250,"Wawad, Beasty"
Lightship,Tag Team,Wildcard 3,840,"Kaila Mullady, Mark Martin"
Zen'Hit,Tag Team,Wildcard 4,250,"Akindé, Kenôzen"
Abducted,Tag Team,Wildcard 5,152,"Mr. Androide, Tomazacre"
16bitzee,Tag Team,Wildcard 6,826,"Ball-Zee, Hobbit"
Middle School,Tag Team,Wildcard 7,56,"FootboxG, Supernova"
SHADOW SUMO,Tag Team,Wildcard 8,56,"BIGBEN, K.I.M"
SHADOW SUMO,Tag Team,Wildcard 8,250,"BIGBEN, K.I.M"
ELISIMO,Tag Team,Wildcard 8,124,"Elisii, Simon"
A-Cloud,Tag Team,Wildcard 10,826,"A-Kam, Graycloud"
Beatness,Loopstation,GBB 2018 Champion,250,
Balance,Loopstation,GBB 2018 Vice Champion,826,
Rythmind,Loopstation,Wildcard 1,250,
Inkie,Loopstation,Wildcard 2,643,
BreZ,Loopstation,Wildcard 3,250,
NME,Loopstation,Wildcard 4,380,
Thai Son,Loopstation,Wildcard 5,704,
SO-SO,Loopstation,Wildcard 6,392,
