round,win,lose
1/4 final,NME,BreZ
1/4 final,INKIE,Thai Son
1/4 final,SO-SO,Beatness
1/4 final,Rythmind,Balance
semi final,NME,INKIE
semi final,Rythmind,SO-SO
small final,INKIE,SO-SO
final,Rythmind,NME
