round,win,lose
1/4 final,Alexinho,Two.H
1/4 final,Hiss,Slizzer
1/4 final,Trung Bao,Efaybee
1/4 final,Napom,Jayton
semi final,Hiss,Alexinho
semi final,Napom,Trung Bao
small final,Alexinho,Trung Bao
final,Napom,Hiss
