round,win,lose
1/8 final,Vocodah,Piratheeban
1/8 final,H-Has,Mr. Androide
1/8 final,Cloud,Mighty
1/8 final,PACMax,PingPong Po
1/8 final,ZerO,AnTILT
1/8 final,Remix,Hiss
1/8 final,NaPoM,Balistix
1/8 final,River',Dudz
1/4 final,Vocodah,H-Has
1/4 final,Cloud,PACMax
1/4 final,ZerO,Remix
1/4 final,NaPoM,Dudz
semi final,Vocodah,Cloud
semi final,ZerO,NaPoM
small final,NaPoM,Cloud
final,ZerO,Vocodah
