round,win,lose
1/4 final,Hiss,Piratheeban
1/4 final,D-low,Trung Bao
1/4 final,Codfish,H-Has
1/4 final,BATACO,SHOW-GO
semi final,D-low,Hiss
semi final,Codfish,BATACO
small final,Hiss,BATACO
final,Codfish,D-low
