round,win,lose
1/8 final,D-KOY,ZER0
1/8 final,FOOTBOXG,ALEXINHO
1/8 final,B-ART,GENE SHINOZAKI
1/8 final,RIVER',HISS
1/8 final,COLAPS,VOCODAH
1/8 final,ZEKKA,NAPOM
1/8 final,ALEM,ELISII
1/8 final,KING INERTIA,HELIUM
1/4 final,FOOTBOXG,D-KOY
1/4 final,RIVER',B-ART
1/4 final,COLAPS,ZEKKA
1/4 final,KING INERTIA,ALEM
semi final,RIVER',FOOTBOXG
semi final,COLAPS,KING INERTIA
small final,FOOTBOXG,KING INERTIA
final,RIVER',COLAPS
