round,win,lose
1/4 final,RYTHMIND,BREZ
1/4 final,FROSTY,SXIN
1/4 final,CHRIS THEODIAN,DICE
1/4 final,BIZKIT,ROBIN
semi final,FROSTY,RYTHMIND
semi final,BIZKIT,CHRIS THEODIAN
small final,RYTHMIND,CHRIS THEODIAN
final,FROSTY,BIZKIT
