round,win,lose
1/4 final,MATEJ,808BANON
1/4 final,SYJO,CARDONA
1/4 final,YASWEDE,JOSH O
1/4 final,RAJE,DUNCAN
semi final,MATEJ,SYJO
semi final,YASWEDE,RAJE
small final,RAJE,SYJO
final,YASWEDE,MATEJ
