round,win,lose
1/4 final,REMIX,ABO ICE
1/4 final,OSIS,HELIUM
1/4 final,KAJI,WING
1/4 final,JULARD,ALEXINHO
semi final,OSIS,REMIX
semi final,JULARD,KAJI
small final,REMIX,KAJI
final,JULARD,OSIS
