round,win,lose
1/4 final,JULARD,CLARKCEDS
1/4 final,LENNSI,BP
1/4 final,WAND,DEITY
1/4 final,MARVELOUS,SERPENT
semi final,JULARD,LENNSI
semi final,WAND,MARVELOUS
small final,LENNSI,WAND
final,JULARD,MARVELOUS
