round,win,lose
1/4 final,Penkyx,Thorsen
1/4 final,Tioneb,Robin
1/4 final,MB14,Slizzer
1/4 final,Saro,Camero
semi final,Tioneb,Penkyx
semi final,Saro,MB14
small final,MB14,Penkyx
final,Saro,Tioneb
