round,win,lose
1/4 final,Jarno Ibarra,OXBOX
1/4 final,Beatness,INKIE
1/4 final,NME,Tioneb
1/4 final,Balance,Thai Son
semi final,Beatness,Jarno Ibarra
semi final,Balance,NME
small final,NME,Jarno Ibarra
final,Beatness,Balance
