round,win,lose
1/4 final,B-Art,MB14
1/4 final,D-low,Colaps
1/4 final,Tomazacre,River'
1/4 final,Codfish,Zekka
semi final,D-low,B-Art
semi final,Tomazacre,Codfish
small final,B-Art,Codfish
final,D-low,Tomazacre
